model_name,accuracy,size_mb,latency_ms,timestamp,compression_type,pruning_amount,sparsity
MNIST_Baseline,99.34,1.6084365844726562,0.1602159001124211,2026-02-09 12:15:56,,,
CIFAR_Baseline,78.37,9.436073303222656,0.9226386363689716,2026-02-09 12:37:47,,,
MNIST_Pruned_30%,99.33,1.6084365844726562,0.20994745099391693,2026-02-10 10:58:08,pruning,0.3,29.983255937501482
CIFAR_Pruned_30%,78.41,9.436073303222656,0.8395145384547038,2026-02-10 10:58:29,pruning,0.3,29.988235817287286
MNIST_Pruned_50%,99.34,1.6084365844726562,0.22757344712049532,2026-02-10 10:58:37,pruning,0.5,49.97225134118518
CIFAR_Pruned_50%,78.13,9.436073303222656,0.8348086132453039,2026-02-10 10:58:59,pruning,0.5,49.98039302881214
MNIST_Pruned_70%,99.34,1.6084365844726562,0.1621034282904405,2026-02-10 10:59:06,pruning,0.7,69.96124674486887
CIFAR_Pruned_70%,78.03,9.436073303222656,0.8363645905867602,2026-02-10 10:59:27,pruning,0.7,69.972550240337
MNIST_Pruned_90%,98.55,1.6084365844726562,0.25542228458783567,2026-02-10 10:59:36,pruning,0.9,89.9500049805285
CIFAR_Pruned_90%,58.95,9.436073303222656,0.8729350251647142,2026-02-10 11:00:00,pruning,0.9,89.96470745186186
MNIST_Quantized_INT8,99.34,0.4606313705444336,0.1352218528970694,2026-02-10 11:42:44,quantization,,
CIFAR_Quantized_INT8,78.48,3.426201820373535,0.49263379799249846,2026-02-10 11:42:52,quantization,,
MNIST_Distilled_Student,99.08,0.40384674072265625,0.11680270425784282,2026-02-10 11:52:14,distillation,,
CIFAR_Distilled_Student,77.17,2.3664932250976562,0.42945808038497585,2026-02-10 12:11:08,distillation,,
